"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-07-31","2026-07-31","2026-06","Facebook (Social Media Pack)","T. Work/The Workman Experience","RIDE WIT ME","QT3F32617480","883086547122","102","100","Song","US","0.00000","0.002745432646",
"2026-07-31","2026-07-31","2026-06","Facebook (Social Media Pack)","T. Work/The Workman Experience","RIDE WIT ME","QT3F32617480","883086547122","21","100","Song","OU","0.00000","0.000565236139",
"2026-07-31","2026-07-31","2026-06","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Day 2 Headley Park Country v1","QT6G72590251","199939291976","1","100","Song","OU","0.00000","0.000026916006",
"2026-07-31","2026-07-31","2026-06","Facebook (Social Media Pack)","T. Work/The Workman Experience","24 Hours In The Zone Anthem Trap v4","QT6FK2548235","199944510901","2","100","Song","OU","0.00000","0.000053832013",
"2026-07-31","2026-07-31","2026-06","Facebook","T. Work/The Workman Experience","Forward From Here","QZDA72602967","821530026762","1","100","Song","OU","0.00000","0.000570180278",
"2026-07-31","2026-07-31","2026-06","Facebook","T. Work/The Workman Experience","24 Hours In The Zone Drill v6","QT6FK2548237","199944510901","1","100","Song","US","0.00000","0.000570180278",
"2026-07-31","2026-07-31","2026-06","Tidal","T. Work/The Workman Experience","ROLL OUT TO THE GRID","QT3F32620376","883086535037","1","100","Song","GB","0.00000","0.006867239232",
"2026-07-31","2026-07-31","2026-06","Tidal","T. Work/The Workman Experience","24 Hours In The Zone Anthem Trap v4","QT6FK2548235","199944510901","2","100","Song","US","0.00000","0.024375819985",
"2026-07-31","2026-07-31","2026-05","TikTok","T. Work/The Workman Experience","24 Hours in The Zone","QT3F32645228","883086527308","1","100","Song","GH","0.00000","0.000945064806",
"2026-07-31","2026-07-31","2026-04","TikTok","T. Work/The Workman Experience","24 Hours In The Zone Early Classic Trap v2","QT6FK2548233","199944510901","1","100","Song","ID","0.00000","0.001020670818",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","RIDE WIT ME","QT3F32617480","883086547122","15","100","Song","US","0.00000","0.000453018102",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","RIDE WIT ME","QT3F32617480","883086547122","8","100","Song","OU","0.00000","0.000241609657",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Saturday Night HR Party","QZFZ32678230","199934966992","9","100","Song","US","0.00000","0.000271810861",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Saturday Night HR Party","QZFZ32678230","199934966992","1","100","Song","OU","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally SATURDAY NIGHT Closing Out the Night v4","QZFZ32678227","199934966992","9","100","Song","US","0.00000","0.000271810861",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally SATURDAY NIGHT Closing Out the Night v4","QZFZ32678227","199934966992","1","100","Song","OU","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Closing Out the Night v13","QZFZ32678226","199934966992","1","100","Song","US","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Closing Out the Night v14","QZFZ32678225","199934966992","9","100","Song","US","0.00000","0.000271810861",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Closing Out the Night v14","QZFZ32678225","199934966992","1","100","Song","OU","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally PIER 21 v1","QT6G72590254","199939291976","9","100","Song","US","0.00000","0.000271810861",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally PIER 21 v1","QT6G72590254","199939291976","1","100","Song","OU","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally PIER 21 v2","QT6G72590253","199939291976","2","100","Song","US","0.00000","0.000060402412",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Day 2 Headley Park Country v1","QT6G72590251","199939291976","2","100","Song","US","0.00000","0.000060402412",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Day 2 Headley Park Country v1","QT6G72590251","199939291976","1","100","Song","OU","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Instrument v2","QT6G72590250","199939291976","1","100","Song","US","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally Instrument v2","QT6G72590250","199939291976","1","100","Song","OU","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","Lone Star Rally INTRO HYPE COUNTRY","QT6FY2597921","199942850061","1","100","Song","US","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","24 Hours In The Zone Drill v6","QT6FK2548237","199944510901","9","100","Song","US","0.00000","0.000271810861",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","24 Hours In The Zone Drill v6","QT6FK2548237","199944510901","1","100","Song","OU","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","24 Hours In The Zone Anthem Trap v4","QT6FK2548235","199944510901","1","100","Song","US","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","24 Hours In The Zone Anthem Trap v4","QT6FK2548235","199944510901","4","100","Song","OU","0.00000","0.000120804827",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","24 Hours In The Zone 2015 Late Trap v3","QT6FK2548234","199944510901","1","100","Song","US","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","24 Hours In The Zone v1 (TX Country Rap Version)","QT6FK2550455","199944510925","8","100","Song","US","0.00000","0.000241609654",
"2026-07-23","2026-07-23","2026-05","Facebook (Social Media Pack)","T. Work/The Workman Experience","24 Hours In The Zone v1 (TX Country Rap Version)","QT6FK2550455","199944510925","1","100","Song","OU","0.00000","0.000030201207",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads) - Composition","T. Work/The Workman Experience","LONE STAR RALLY DAY 1 Hip Hop Indie","QT6FY2597922","199942850061","1","100","Song","US","0.00000","0.000588544992",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads) - Composition","T. Work/The Workman Experience","Lone Star Rally INTRO HYPE COUNTRY","QT6FY2597921","199942850061","1","100","Song","US","0.00000","0.000588544992",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads) - Composition","T. Work/The Workman Experience","Lone Star Rally Country Anthem (Travel Anthem with Southern Rally Energy)","QT6FY2597920","199942850061","1","100","Song","US","0.00000","0.000588544992",
"2026-07-23","2026-07-23","2026-06","YouTube (ContentID)","T. Work/The Workman Experience","LONE STAR RALLY DAY 1 Hip Hop Indie","QT6FY2597922","199942850061","1","100","Song","US","0.00000","0.001177089985",
"2026-07-23","2026-07-23","2026-06","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally INTRO HYPE COUNTRY","QT6FY2597921","199942850061","1","100","Song","US","0.00000","0.001177089985",
"2026-07-23","2026-07-23","2026-06","YouTube (ContentID)","T. Work/The Workman Experience","Lone Star Rally Country Anthem (Travel Anthem with Southern Rally Energy)","QT6FY2597920","199942850061","1","100","Song","US","0.00000","0.001177089985",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","We Pulling Up","QT3F32617471","883086547122","1","100","Song","TR","0.00000","0.001326884889",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","LOW COUNTRY RIDERS","QT3F32617470","883086547122","1","100","Song","US","0.00000","0.017777763934",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","LOW COUNTRY RIDERS","QT3F32617470","883086547122","1","100","Song","TR","0.00000","0.001326884889",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","LOW COUNTRY RIDERS","QT3F32617470","883086547122","1","100","Song","AR","0.00000","0.001404713748",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","Under The Load I-35 Harley Run","QT3F32608457","883086604993","1","100","Song","US","0.00000","0.007365059110",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","Tech Deep Dive","QT3F32608455","883086604993","1","100","Song","US","0.00000","0.007365059110",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","Move Under The Load Vibe 2","QT3F32608453","883086604993","1","100","Song","US","0.00000","0.007365059110",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","I-35 Harley RUN On Twos","QT3F32608452","883086604993","3","100","Song","US","0.00000","0.025066384835",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","i 35 S Temple to Round Rock","QT3F32608451","883086604993","1","100","Song","US","0.00000","0.007365059110",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","Horny T Monotony","QT3F32608450","883086604993","1","100","Song","US","0.00000","0.017777763934",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","Lone Star Rally Closing Out the Night v14","QZFZ32678225","199934966992","1","100","Song","US","0.00000","0.017777763934",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","24 Hours In The Zone Drill v6","QT6FK2548237","199944510901","1","100","Song","US","0.00000","0.017777763934",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","24 Hours In The Zone Anthem Trap v4","QT6FK2548235","199944510901","1","100","Song","US","0.00000","0.017777763934",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","24 Hours In The Zone 2015 Late Trap v3","QT6FK2548234","199944510901","1","100","Song","US","0.00000","0.017777763934",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","24 Hours In The Zone Early Classic Trap v2","QT6FK2548233","199944510901","1","100","Song","US","0.00000","0.017777763934",
"2026-07-23","2026-07-23","2026-06","YouTube (Red)","T. Work/The Workman Experience","24 Hours In The Zone v1 (TX Country Rap Version)","QT6FK2550455","199944510925","1","100","Song","US","0.00000","0.017777763934",
"2026-07-23","2026-07-23","2026-06","YouTube (ContentID)","T. Work/The Workman Experience","RIDE WIT ME","QT3F32617480","883086547122","6","100","Song","US","0.00000","0.022489497158",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads)","T. Work/The Workman Experience","East Coast Bagger","QT3F32620374","883086535037","1","100","Song","US","0.00000","0.005084980709",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads)","T. Work/The Workman Experience","Memphis Ride Through Daytona (Vibe)","QT3F32617496","883086547122","1","100","Song","BR","0.00000","0.000859403764",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads)","T. Work/The Workman Experience","Main Street (Trike FLEX Full Ride)","QT3F32617492","883086547122","1","100","Song","BR","0.00000","0.000051480176",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads)","T. Work/The Workman Experience","Main Street (Trike FLEX Low Country)","QT3F32617491","883086547122","1","100","Song","BR","0.00000","0.000066714106",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads)","T. Work/The Workman Experience","RIDE WIT ME","QT3F32617480","883086547122","1","100","Song","BR","0.00000","0.000069340646",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads)","T. Work/The Workman Experience","We Outside Chant","QT3F32617474","883086547122","2","100","Song","US","0.00000","0.014853606873",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads)","T. Work/The Workman Experience","LOW COUNTRY RIDERS","QT3F32617470","883086547122","23","100","Song","VN","0.00000","0.000897225935",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads)","T. Work/The Workman Experience","LOW COUNTRY RIDERS","QT3F32617470","883086547122","1","100","Song","US","0.00000","0.008306168902",
"2026-07-23","2026-07-23","2026-06","YouTube (Ads)","T. Work/The Workman Experience","24 Hours In The Zone v1 (TX Country Rap Version)","QT6FK2550455","199944510925","1","100","Song","US","0.00000","0.000555250476",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","24 Hours in The Zone","QT3F32645228","883086527308","1","100","Song","US","0.00000","0.003680371696",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Olive Green and Black","QT3F32617500","883086547122","3","100","Song","US","0.00000","0.011041115088",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Bethune Blvd Ride","QT3F32617499","883086547122","4","100","Song","US","0.00000","0.014721486784",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","Go Go Roll'n Daytona (Vibe)","QT3F32617498","883086547122","7","100","Song","US","0.00000","0.025762601873",
"2026-07-22","2026-07-22","2026-06","Apple Music","T. Work/The Workman Experience","ATL HOU Roll Daytona","QT3F32617497","883086547122","6","100","Song","US","0.00000","0.022082230177",
